3870,29
3883,43
3793,75
3695,31
3548,99
3418,7
3365,52
3391,71
3207,62
3104,66
2919,61
2761,98
2652,39
3277,31
3278,2
3176,75
3104,9
2977,68
2982,16
2897,5
2996,11
2890,17
2854,71
2903,8
2803,98
2754,86
2607,39
2567,31
2723,23
2785,46
2901,5
2857,82
2793,64
2754,35
2701,49
2653,63
2702,77
2705,16
2789,8
2664,34
2593,61
2557
2492,84
2456,22
2454,1
2433,99
2395,35
2359,31
2366,82
2329,91
2275,12
2246,63
2164,99
2143,02
2157,69
2170,95
2148,9
2083,89
2065,55
2075,54
2021,95
1904,42
1918,6
2054,08
2080,62
2024,81
1944,41
2039,87
2094,14
2099,29
2111,94
2094,86
2079,99
2082,2
2028,18
2054,27
2044,57
1937,27
1993,23
1961,53
1973,1
1947,09
1889,77
1864,26
1863,52
1817,04
1822,36
1807,78
1783,54
1720,03
1687,17
1670,09
1668,68
1618,77
1639,84
1570,7
1550,83
1512,31
1480,4
1422,29
1394,51
1437,82
1443,42
1403,45
1359,78
1323,48
1341,27
1386,43
1389,24
1352,49
1300,58
1243,32
1226,42
1207,22
1173,88
1185,31
1325,19
1287,29
1338,31
1331,51
1304,49
1321,12
1282,62
1241,53
1198,89
1171,58
1122,08
1087,28
1079,8
1083,36
1125,06
1197,32
1152,05
1089,16
1123,58
1110,38
1088,07
1067,66
1044,55
1009,73
935,82
926,12
902,41
848,15
757,13
805,23
865,58
877,56
883,04
968,8
1216,95
1281,47
1257,33
1341,25
1403,22
1370,47
1316,94
1354,87
1378,76
1479,22
1463,39
1539,66
1497,12
1454,62
1520,71
1514,19
1511,14
1463,64
1406,95
1444,8
1424,16
1416,42
1388,64
1363,38
1317,74
1287,15
1260,24
1253,17
1290,01
1302,17
1293,74
1276,65
1278,73
1262,07
1237,37
1191,96
1225,92
1224,27
1222,24
1202,25
1178,28
1164,43
1194,9
1199,63
1181,41
1199,21
1168,94
1117,21
1117,66
1088,94
1105,85
1132,76
1102,78
1133,36
1123,98
1143,36
1132,52
1080,64
1049,9
1038,73
1019,44
989,53
992,54
988
935,96
890,03
846,63
837,03
895,84
899,18
909,93
854,63
867,81
912,55
903,59
1014,02
1079,25
1111,93
1153,79
1100,67
1140,21
1144,93
1129,68
1076,59
1044,64
1178,5
1204,45
1238,71
1270,37
1189,84
1185,85
1305,75
1335,63
1330,93
1378,04
1390,14
1468,05
1485,46
1473
1461,96
1418,48
1461,36
1442,21
1388,87
1425,59
1428,68
1391
1300,01
1318,17
1327,49
1380,99
1322,55
1332,07
1334,76
1281,66
1246,58
1248,77
1190,05
1144,43
1032,47
1020,64
1074,62
1156,58
1108,39
1108,42
1112,2
1076,83
1023,74
963,36
962,37
938,92
951,16
937,02
927,24
925,29
876,29
833,09
763,93
792,16
798,39
766,22
743,25
735,67
701,46
674,88
662,68
644,07
668,5
661,23
647,17
647,07
649,54
614,42
614,57
595,53
582,92
578,77
559,11
557,37
539,35
523,81
507,91
493,15
481,92
465,25
455,19
461,01
463,81
466,96
464,24
451,4
454,83
450,9
447,23
463,81
471,58
472,99
465,95
462,89
463,9
459,24
454,13
447,29
448,06
445,25
443,08
450,16
441,7
435,23
435,64
422,84
412,5
418,48
417,93
415,05
408,27
414,81
407,41
407,36
412,56
416,08
388,51
385,92
386,88
387,2
389,4
380,23
378,29
377,99
379,68
372,28
362,26
325,49
328,75
315,29
307,12
315,41
330,75
360,03
360,39
350,25
338,18
338,46
330,45
339,97
348,6
340,2
347,4
347,3
346,6
331,9
323,7
313,9
302,3
292,7
294
285,4
276,5
271
277,4
268
263,7
269,1
270,7
256,1
262,6
265,7
258,1
250,5
241
245
280,2
318,7
329,4
310,1
301,4
289,1
289,3
292,5
280,9
264,5
248,6
245,1
237,4
238,3
245
240,2
245,3
238,5
238
232,3
219,4
208,2
207,3
197,5
186,2
184,1
188,3
192,5
188,9
184,9
180,6
179,4
180,9
171,6
164,5
166,3
164,8
166,1
164,4
151,1
153,1
156,6
157,6
157,4
157,3
166,4
164,4
165,2
167,7
167,2
162,4
167
166,4
164,1
157,7
151,9
146,8
144,3
139,4
138,1
132,7
122,4
109,7
109,4
109,7
116,4
116,3
110,8
114,5
117,3
123,8
122,9
119,8
118,3
129,6
129,1
132,3
131,7
134,4
133,2
128,4
133
133,5
135,7
130,2
126,5
123,5
119,8
114,6
107,7
103
104,7
115,3
110,9
107,8
103,7
104,5
108,6
104,5
108,6
